gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
Potri.001G000400.v4.1	Potri.001G000400.5.v4.1	612.00	442.93	187.00	41.36	32.11
Potri.001G000450.v4.1	Potri.001G000450.1.v4.1	315.00	147.05	0.00	0.00	0.00
Potri.001G000500.v4.1	Potri.001G000500.1.v4.1	2158.00	1988.92	0.00	0.00	0.00
Potri.001G000600.v4.1	Potri.001G000600.1.v4.1	1936.00	1766.92	0.00	0.00	0.00
Potri.001G000700.v4.1	Potri.001G000700.2.v4.1	1672.00	1502.92	452.00	29.47	22.88
Potri.001G000800.v4.1	Potri.001G000800.1.v4.1,Potri.001G000800.2.v4.1,Potri.001G000800.3.v4.1,Potri.001G000800.4.v4.1,Potri.001G000800.5.v4.1,Potri.001G000800.6.v4.1	3746.40	3577.32	60.00	1.64	1.28
Potri.001G000900.v4.1	Potri.001G000900.2.v4.1,Potri.001G000900.3.v4.1,Potri.001G000900.7.v4.1,Potri.001G000900.8.v4.1	1539.37	1370.29	1078.00	77.08	59.84
Potri.001G001000.v4.1	Potri.001G001000.1.v4.1	819.00	649.93	13.00	1.96	1.52
Potri.001G001100.v4.1	Potri.001G001100.1.v4.1	2283.00	2113.92	71.00	3.29	2.55
Potri.001G001201.v4.1	Potri.001G001201.1.v4.1,Potri.001G001201.2.v4.1	1136.00	966.92	0.00	0.00	0.00
Potri.001G001250.v4.1	Potri.001G001250.1.v4.1	888.00	718.92	0.00	0.00	0.00
Potri.001G001300.v4.1	Potri.001G001300.1.v4.1	1141.00	971.92	306.00	30.85	23.95
Potri.001G001400.v4.1	Potri.001G001400.2.v4.1	2718.00	2548.92	92.00	3.54	2.75
Potri.001G001500.v4.1	Potri.001G001500.4.v4.1,Potri.001G001500.5.v4.1	1630.26	1461.19	243.00	16.29	12.65
Potri.001G001600.v4.1	Potri.001G001600.1.v4.1	2343.00	2173.92	1214.00	54.71	42.48
Potri.001G001700.v4.1	Potri.001G001700.1.v4.1,Potri.001G001700.2.v4.1	2719.48	2550.40	242.00	9.30	7.22
Potri.001G002000.v4.1	Potri.001G002000.1.v4.1,Potri.001G002000.3.v4.1,Potri.001G002000.4.v4.1,Potri.001G002000.5.v4.1,Potri.001G002000.6.v4.1,Potri.001G002000.7.v4.1,Potri.001G002000.8.v4.1	2337.82	2168.75	3250.00	146.82	113.98
Potri.001G002200.v4.1	Potri.001G002200.2.v4.1	3196.00	3026.92	27.00	0.87	0.68
Potri.001G002300.v4.1	Potri.001G002300.3.v4.1	1579.00	1409.92	126.00	8.76	6.80
Potri.001G002350.v4.1	Potri.001G002350.1.v4.1	195.00	38.26	0.00	0.00	0.00
Potri.001G002400.v4.1	Potri.001G002400.1.v4.1	408.00	239.11	31.00	12.70	9.86
Potri.001G002500.v4.1	Potri.001G002500.1.v4.1	2819.00	2649.92	3688.00	136.36	105.86
Potri.001G002600.v4.1	Potri.001G002600.2.v4.1,Potri.001G002600.3.v4.1,Potri.001G002600.4.v4.1	3071.00	2901.92	11.00	0.37	0.29
Potri.001G002700.v4.1	Potri.001G002700.2.v4.1	1101.00	931.92	5.00	0.53	0.41
Potri.001G002800.v4.1	Potri.001G002800.1.v4.1	2851.00	2681.92	5.00	0.18	0.14
Potri.001G003000.v4.1	Potri.001G003000.1.v4.1	1835.00	1665.92	0.00	0.00	0.00
Potri.001G003100.v4.1	Potri.001G003100.4.v4.1	1862.00	1692.92	29.00	1.68	1.30
Potri.001G003200.v4.1	Potri.001G003200.1.v4.1	2692.00	2522.92	10.00	0.39	0.30
Potri.001G003300.v4.1	Potri.001G003300.1.v4.1	489.00	319.97	3.00	0.92	0.71
Potri.001G003400.v4.1	Potri.001G003400.1.v4.1	829.00	659.92	105.00	15.59	12.10
Potri.001G003500.v4.1	Potri.001G003500.2.v4.1	1167.00	997.92	17.00	1.67	1.30
Potri.001G003632.v4.1	Potri.001G003632.1.v4.1	1621.00	1451.92	8.21	0.55	0.43
Potri.001G003700.v4.1	Potri.001G003700.2.v4.1	1140.00	970.92	38.79	3.91	3.04
Potri.001G003800.v4.1	Potri.001G003800.1.v4.1	2235.00	2065.92	429.00	20.35	15.79
Potri.001G003900.v4.1	Potri.001G003900.3.v4.1,Potri.001G003900.4.v4.1,Potri.001G003900.5.v4.1,Potri.001G003900.6.v4.1,Potri.001G003900.7.v4.1	6745.03	6575.95	433.37	6.46	5.01
Potri.001G004000.v4.1	Potri.001G004000.3.v4.1	1549.00	1379.92	47.00	3.34	2.59
Potri.001G004100.v4.1	Potri.001G004100.1.v4.1	832.00	662.92	393.00	58.08	45.09
Potri.001G004200.v4.1	Potri.001G004200.1.v4.1,Potri.001G004200.3.v4.1	6560.00	6390.92	687.00	10.53	8.18
Potri.001G004300.v4.1	Potri.001G004300.3.v4.1,Potri.001G004300.5.v4.1	1726.68	1557.60	110.00	6.92	5.37
Potri.001G004366.v4.1	Potri.001G004366.1.v4.1	490.00	320.97	1.00	0.31	0.24
Potri.001G004432.v4.1	Potri.001G004432.1.v4.1	1425.00	1255.92	0.00	0.00	0.00
